Species C_T A_G T_C G_T A_C G_A A_T G_C C_A C_G T_A T_G BranchLength C_T_rate A_G_rate T_C_rate G_T_rate A_C_rate G_A_rate A_T_rate G_C_rate C_A_rate C_G_rate T_A_rate T_G_rate C_T_rate.res A_G_rate.res T_C_rate.res G_T_rate.res A_C_rate.res G_A_rate.res A_T_rate.res G_C_rate.res C_A_rate.res C_G_rate.res T_A_rate.res T_G_rate.res
AUS66_Microcerotermes_sp.E_1 19 69 50 6 9 17 6 2 11 1 4 7 0.0769674509 246.85759730676 896.48285337718 649.62525607042 77.9550307284504 116.932546092676 220.872587063943 77.9550307284504 25.9850102428168 142.917556335492 12.9925051214084 51.9700204856336 90.9475358498588 -170.067294973848 204.085261740942 123.96066700911 -15.7576312125907 -187.61817946615 1.90942770616109 -323.736998187622 1.29705781719785 -13.0154789047261 -14.7918156304188 -170.281566810159 -63.8124768914717
AUS6_Microcerotermes_nervosus_1 26 47 33 6 9 18 12 1 7 1 7 6 0.0634515144 409.761693568026 740.723061449893 520.082149528649 94.5603908233906 141.840586235086 283.681172470172 189.120781646781 15.7600651372318 110.320455960622 15.7600651372318 110.320455960622 94.5603908233906 -32.7739652879572 5.93795523439428 -38.0131118536632 -4.91542509364961 -182.132372660276 51.4376043622141 -237.862946877107 -10.4281149379305 -55.3855334233862 -13.8474253941283 -125.430036053559 -70.0153292339873
AUS73_Termes-group_sp.F_1 7 11 8 0 1 2 1 0 2 0 0 1 0.0815148972 85.8738738616725 134.944658925485 98.1415701276257 0 12.2676962659532 24.5353925319064 12.2676962659532 0 24.5353925319064 0 0 12.2676962659532 -322.434258070635 -543.191623748577 -416.611696521608 -91.7736447501504 -285.748405286319 -189.959564002233 -380.914922606481 -24.1831997823912 -128.109525443093 -27.1709140028233 -217.709871350643 -139.189814875415
AUS76_Microcerotermes_sp.F_1 5 5 6 0 0 3 1 0 0 0 0 0 0.038614296 129.485722075575 129.485722075575 155.38286649069 0 0 77.6914332453452 25.8971444151151 0 0 0 0 0 -360.112913350623 -683.191726785828 -462.307798532025 -110.066329861429 -359.66373409213 -178.956541658205 -447.563235346852 -28.9450354200676 -183.665011053169 -32.9577923024979 -260.556412392054 -182.613306010756
AUS82_Microcerotermes_sp.I_1 24 39 46 5 7 20 7 0 7 3 10 6 0.0503944871 476.242569001164 773.894174626891 912.79825725223 99.2172018752424 138.904082625339 396.86880750097 138.904082625339 0 138.904082625339 59.5303211251454 198.434403750485 119.060642250291 8.96571086915598 -1.83925470632531 323.373448424006 -5.82609053880002 -203.831662770397 151.795742923699 -312.512611549331 -27.6374702058389 -36.2430379046401 28.1615632495732 -50.3566620654512 -54.9975105186078
AUS87_Schedorhinotermes_breinli_Australia_1 1 3 2 0 2 5 1 0 0 0 0 0 0.0686111033 14.5749004447215 43.7247013341644 29.1498008894429 0 29.1498008894429 72.8745022236073 14.5749004447215 0 0 0 0 0 -418.184075386538 -674.87934708177 -516.56533892845 -97.2757829941602 -287.408892665415 -154.299387614194 -402.753946039833 -25.615481473918 -161.975250805848 -28.9115116358323 -230.597404845774 -160.828660834843
AUS88_Heterotermes_cf_paradoxus_1 0 0 1 0 0 0 0 0 0 0 0 0 0.1072847522 0 0 9.32098904544983 0 0 0 0 0 0 0 0 0 -359.477942393739 -597.319085543998 -443.599068838359 -80.7854574126195 -260.985139113325 -189.174165197722 -344.960771159775 -21.3228246248339 -134.011535729743 -23.6948085284492 -191.972489612302 -132.742614526029
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1 37 80 33 10 71 20 84 6 14 3 40 42 0.102903061 359.561704388949 777.430712192322 320.690168779333 97.1788390240403 689.969757070686 194.357678048081 816.302247801939 58.3073034144242 136.050374633656 29.1536517072121 388.715356096161 408.151123900969 -8.21891614541114 166.370144537794 -142.743492177338 14.5250418880964 422.688181976395 0.878176690112374 463.142235871492 36.4981244559487 -1.12942599359108 4.86779519780469 192.366696766415 272.226384453851
AUS97_Nasutitermes_sp._1 33 64 31 10 14 13 25 2 7 1 13 12 0.0821869452 401.523622999921 778.712480969545 377.188857969623 121.673825151491 170.343355212088 158.175972696939 304.184562878728 24.3347650302983 85.1716776060439 12.1673825151491 158.175972696939 146.00859018179 -5.51107409082395 102.68381728274 -135.951870142456 30.1867396126289 -126.707021688448 -55.6586468979331 -87.7404860030487 0.226160522264919 -66.9873033207588 -14.9128786791178 -58.8626975187927 -4.96085811092998
AUSNAS_Nasutitermes_exitiosus_1 0 6 8 1 0 2 0 0 0 0 0 0 0.0281467805 0 213.168252049289 284.224336065718 35.5280420082148 0 71.0560840164295 0 0 0 0 0 0 -509.433080201417 -632.336516314901 -358.582499426984 -79.0016044404631 -374.705424210666 -195.877000205206 -493.047720799427 -30.1068976539663 -191.233746595905 -34.3697594219344 -271.010737504691 -190.215152059247
