Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
G711_Labiotermes_labralis_1	49	44	20	8	25	16	52	3	17	0	26	15	0.0954942349	513.119981026205	460.760799288837	209.436726949472	83.7746907797886	261.795908686839	167.549381559577	544.535490068626	31.4155090424207	178.021217907051	0	272.267745034313	157.077545212104
G712_Subulitermes_sp._1	44	46	26	9	18	19	35	2	13	0	28	7	0.0653381248	673.419999956901	704.029999954942	397.929999974533	137.744999991184	275.489999982369	290.794999981389	535.674999965717	30.609999998041	198.964999987266	0	428.539999972573	107.134999993143
G715_Syntermes_spinosus_1	36	58	37	9	47	22	48	5	24	3	26	17	0.1007907459	357.175648206013	575.44965544302	367.097193989513	89.2939120515031	466.312651824516	218.274007237008	476.234197608017	49.6077289175017	238.117098804008	29.764637350501	257.960190371009	168.666278319506
G716_Cavitermes_tuberosus_1	0	7	4	0	1	2	2	0	1	0	1	1	0.0039667539	0	1764.66707450644	1008.38118543225	0	252.095296358062	504.190592716125	504.190592716125	0	252.095296358062	0	252.095296358062	252.095296358062
G718_Nasutitermes_octopilis_1	40	74	59	12	27	17	22	1	13	3	26	20	0.0746014378	536.182695395718	991.937986482078	790.869475708684	160.854808618715	361.92331939211	227.87764554318	294.900482467645	13.4045673848929	174.259376003608	40.2137021546788	348.518752007217	268.091347697859
G721_Anoplotermes-group_sp.AD_1	33	50	45	8	21	21	26	7	16	5	28	9	0.0941020456	350.683131164579	531.33807752209	478.204269769881	85.0140924035343	223.161992559278	223.161992559278	276.295800311487	74.3873308530925	170.028184807069	53.1338077522089	297.54932341237	95.6408539539761
G722_Patawatermes_nigripunctatus_1	0	1	1	0	0	1	0	0	0	0	0	0	0.000360157	0	2776.566886108	2776.566886108	0	0	2776.566886108	0	0	0	0	0	0
G727_Coptotermes_testaceus_FG_1	0	0	1	0	0	0	0	0	0	0	0	0	9.1603e-05	0	0	10916.6730347259	0	0	0	0	0	0	0	0	0
G728_Agnathotermes_crassinasus_1	32	50	40	6	23	10	23	2	9	1	15	8	0.059273135	539.873586912519	843.552479550812	674.841983640649	101.226297546097	388.034140593373	168.710495910162	388.034140593373	33.7420991820325	151.839446319146	16.8710495910162	253.065743865244	134.96839672813
G729_Araujotermes_parvellus_1	46	38	34	10	16	18	28	1	10	1	17	11	0.069806749	658.962072564073	544.359972987712	487.058923199532	143.252624470451	229.204199152721	257.854724046811	401.107348517262	14.3252624470451	143.252624470451	14.3252624470451	243.529461599766	157.577886917496
G732_Cryptotermes_brevis_FG_1	1	2	0	0	0	0	1	0	0	0	0	0	0.0018838715	530.821767832891	1061.64353566578	0	0	0	0	530.821767832891	0	0	0	0	0
G733_Nasutitermes_macrocephalus_1	28	61	63	3	14	15	10	1	19	4	3	7	0.0553312352	506.043284571388	1102.45144138767	1138.59739028562	54.2189233469344	253.021642285694	271.094616734672	180.729744489781	18.0729744489781	343.386514530585	72.2918977959126	54.2189233469344	126.510821142847
G736_Atlantitermes_snyderi_1	25	46	39	8	11	12	26	2	12	2	11	12	0.0598509468	417.704336132574	768.575978483936	651.618764366815	133.665387562424	183.789907898333	200.498081343635	434.412509577877	33.4163468906059	200.498081343635	33.4163468906059	183.789907898333	200.498081343635
G740_Coatitermes_kartaboensis_1	22	35	41	5	9	13	25	0	11	0	15	6	0.0541651111	406.165510477463	646.172403032328	756.944814980727	92.3103432903325	166.158617922599	240.006892554865	461.551716451663	0	203.082755238732	0	276.931029870998	110.772411948399
G751_Rhinotermes_hispidus_FG_1	23	51	38	8	42	10	42	4	16	0	19	22	0.0824972702	278.797103761622	618.20227355838	460.621301867028	96.9729056562165	509.107754695137	121.216132070271	509.107754695137	48.4864528281082	193.945811312433	0	230.310650933514	266.675490554595
G753_Termes_fatalis_1	0	0	1	0	0	0	0	0	0	0	0	0	0.000180212	0	0	5549.0200430604	0	0	0	0	0	0	0	0	0
G769_Dihoplotermes_sp.A_1	40	53	41	10	34	16	29	1	31	8	26	15	0.0939990301	425.536305613434	563.8356049378	436.17471325377	106.384076403359	361.705859771419	170.214522245374	308.51382156974	10.6384076403359	329.790636850411	85.1072611226868	276.598598648732	159.576114605038
Glypto1_Glyptotermes_fuscus_Japan_1	21	53	37	7	27	20	43	2	20	1	18	16	0.0896690466	234.194527501534	591.062378932442	412.628453216988	78.0648425005112	301.107249644829	223.042407144318	479.541175360283	22.3042407144318	223.042407144318	11.1521203572159	200.738166429886	178.433925715454
Glyptotermes_satsumensis_1	20	64	37	2	24	11	33	1	10	1	22	10	0.0882608116	226.601134041691	725.12362893341	419.212097977128	22.6601134041691	271.921360850029	124.63062372293	373.891871168789	11.3300567020845	113.300567020845	11.3300567020845	249.26124744586	113.300567020845
Hodotermopsis_sjosdteti_1	39	68	31	13	37	15	128	4	13	5	44	28	0.3245107096	120.180933467719	209.546242969357	95.5284342948539	40.0603111559065	114.017808674503	46.2234359491228	394.439986765848	12.3262495864328	40.0603111559065	15.4078119830409	135.58874545076	86.2837471050293
I9_Mastotermes_darwiniensis_1	22	95	43	19	114	11	145	5	14	6	72	46	0.4062607203	54.152417156535	233.839983175947	105.843360805955	46.7679966351893	280.607979811136	27.0762085782675	356.913658531708	12.3073675355761	34.4606290996132	14.7688410426914	177.226092512296	113.227781327301
Incisitermes_minor_1	2	7	2	0	0	1	1	0	0	0	0	0	0.0026638971	750.779750464085	2627.7291266243	750.779750464085	0	0	375.389875232043	375.389875232043	0	0	0	0	0
IND1_Microtermes_sp.C_India_1	16	30	19	2	2	22	3	0	3	0	1	1	0.0219033308	730.482507254102	1369.65470110144	867.447977364246	91.3103134067628	91.3103134067628	1004.41344747439	136.965470110144	0	136.965470110144	0	45.6551567033814	45.6551567033814
IND2_Trinervitermes_sp._1	19	37	25	4	15	11	6	1	1	0	6	2	0.0335715093	565.956085864748	1102.12500931556	744.679060348353	119.148649655736	446.807436209012	327.658786553275	178.722974483605	29.7871624139341	29.7871624139341	0	178.722974483605	59.5743248278682
IND3_Heterotermes_malabaricus_1	20	63	35	5	11	14	9	0	8	0	2	2	0.043171146	463.27239031366	1459.30802948803	810.726683048905	115.818097578415	254.799814672513	324.290673219562	208.472575641147	0	185.308956125464	0	46.327239031366	46.327239031366
IND5_Nasutitermes_sp.B_1	5	6	6	1	0	3	1	0	0	1	0	0	0.0042688483	1171.27610273712	1405.53132328455	1405.53132328455	234.255220547425	0	702.765661642275	234.255220547425	0	0	234.255220547425	0	0
IND6_Odontotermes_sp.C_1	25	66	43	3	17	12	6	1	13	1	4	6	0.043344382	576.776016785751	1522.68868431438	992.054748871492	69.2131220142901	392.207691414311	276.85248805716	138.42624402858	23.07104067143	299.92352872859	23.07104067143	92.2841626857201	138.42624402858
IND7_Nasutitermes_sp.C_1	5	9	5	0	0	0	0	0	1	0	0	1	0.0050815649	983.948861894886	1771.10795141079	983.948861894886	0	0	0	0	0	196.789772378977	0	0	196.789772378977
IND8_Odontotermes_sp.B_1	18	26	22	2	7	11	3	0	9	0	6	3	0.0284188377	633.38269460612	914.886114431063	774.134404518592	70.3758549562356	246.315492346825	387.067202259296	105.563782434353	0	316.69134730306	0	211.127564868707	105.563782434353
IS13_Reticulitermes_flavipes_1	4	7	2	2	0	10	2	0	1	0	0	0	0.0072376733	552.663795974322	967.161642955064	276.331897987161	276.331897987161	0	1381.65948993581	276.331897987161	0	138.165948993581	0	0	0
IS17_Microhodotermes_viator_1	13	58	29	16	72	9	53	6	13	8	25	27	0.188870688	68.8301617241951	307.088413846409	153.544206923205	84.7140451990094	381.213203395542	47.6516504244428	280.615274721719	31.7677669496285	68.8301617241951	42.3570225995047	132.365695623452	142.954951273328
IS57_Reticulitermes_flavipes_1	1	2	0	0	0	1	0	0	0	0	0	0	0.0013213627	756.794481938986	1513.58896387797	0	0	0	756.794481938986	0	0	0	0	0	0
IS95_Macrotermes_subhyalinus_1	9	13	8	0	0	0	3	0	2	1	2	0	0.0109221945	824.010229812333	1190.23699861781	732.453537610963	0	0	0	274.670076604111	0	183.113384402741	91.5566922013703	183.113384402741	0
ISO183_Heterotermes_sp_1	12	33	25	3	3	19	7	1	4	0	5	0	0.0289142528	415.020235279952	1141.30564701987	864.625490166566	103.755058819988	103.755058819988	657.11537252659	242.095137246638	34.5850196066626	138.340078426651	0	172.925098033313	0
ISO207_Porotermes_adamsoni_1	22	61	37	6	63	6	69	1	12	2	27	34	0.183938872	119.604952236523	331.631913019451	201.15378330688	32.6195324281428	342.505090495499	32.6195324281428	375.124622923642	5.43658873802379	65.2390648562855	10.8731774760476	146.787895926642	184.844017092809
ISO210_Coptotermes_lacteus_1	13	10	16	1	1	8	1	0	2	0	0	2	0.0102194066	1272.08951643044	978.530397254181	1565.64863560669	97.8530397254181	97.8530397254181	782.824317803345	97.8530397254181	0	195.706079450836	0	0	195.706079450836
ISO262_Neotermes_insularis_1	60	46	27	9	34	25	59	2	18	2	31	16	0.1418807645	422.890306599666	324.215901726411	190.30063796985	63.4335459899499	239.637840406477	176.204294416527	415.842134823005	14.0963435533222	126.8670919799	14.0963435533222	218.493325076494	112.770748426578
ISO312_Drepanotermes_sp._1	22	38	51	3	10	11	12	1	11	0	14	7	0.0518154104	424.584111756838	733.372556670901	984.263168163578	57.8978334213869	192.99277807129	212.292055878419	231.591333685548	19.299277807129	212.292055878419	0	270.189889299806	135.094944649903
ISO314_Schedorhinotermes_breinli_Australia_1	3	2	2	0	0	1	1	0	1	0	0	1	0.0028171385	1064.9103691565	709.940246104336	709.940246104336	0	0	354.970123052168	354.970123052168	0	354.970123052168	0	0	354.970123052168
ISO845_Zootermopsis_angusticollis_1	24	48	26	10	67	8	74	2	18	7	26	25	0.2632137745	91.1806384205778	182.361276841156	98.7790249556259	37.9919326752407	254.545948924113	30.3935461401926	281.140301796782	7.59838653504815	68.3854788154333	26.5943528726685	98.7790249556259	94.9798316881019
Locusta_migratoria_1	5	20	15	13	21	4	107	1	5	9	71	12	0.7511581692	6.65638770237314	26.6255508094925	19.9691631071194	17.3066080261702	27.9568283499672	5.32511016189851	142.446696830785	1.33127754047463	6.65638770237314	11.9814978642716	94.5207053736985	15.9753304856955
Macrotermes_barneyi_1	31	29	16	6	3	7	7	1	8	1	2	1	0.0355227286	872.680709555628	816.378728293975	450.415850093227	168.90594378496	84.4529718924801	197.056934415787	197.056934415787	28.1509906308267	225.207925046614	28.1509906308267	56.3019812616534	28.1509906308267
Macrotermes_natalensis_Africa_1	10	17	8	3	0	2	2	0	5	1	4	1	0.0166999342	598.804754572027	1017.96808277245	479.043803657622	179.641426371608	0	119.760950914405	119.760950914405	0	299.402377286014	59.8804754572027	239.521901828811	59.8804754572027
MAL10_Neotermes_spA_Malaysia_1	0	3	7	0	1	0	0	0	0	0	0	0	0.004055719	0	739.696216626448	1725.95783879504	0	246.565405542149	0	0	0	0	0	0	0
