Species	A_G	T_A	C_A	C_T	T_C	A_C	A_T	G_T	G_A	T_G	C_G	G_C	BranchLength	sumOfSubs	A_G_fr	T_A_fr	C_A_fr	C_T_fr	T_C_fr	A_C_fr	A_T_fr	G_T_fr	G_A_fr	T_G_fr	C_G_fr	G_C_fr	Taxonomy	Worker	diet.Wood.Soil	Soldier
SING91_Macrotermes_gilvus_Singapore_1	15	3	2	3	9	1	1	1	4	0	0	0	0.0387559465	39	0.384615384615385	0.0769230769230769	0.0512820512820513	0.0769230769230769	0.230769230769231	0.0256410256410256	0.0256410256410256	0.0256410256410256	0.102564102564103	0	0	0	Macrotermitinae	1	Wood	1
Sinocapritermes_mushae_Japan_1	15	10	7	19	9	3	11	4	9	4	0	1	0.0269734105	92	0.16304347826087	0.108695652173913	0.0760869565217391	0.206521739130435	0.0978260869565217	0.0326086956521739	0.119565217391304	0.0434782608695652	0.0978260869565217	0.0434782608695652	0	0.0108695652173913	Termes-group	1	Soil	1
Statilia_sp._1	38	92	4	8	45	27	106	3	2	13	1	1	0.1114597625	340	0.111764705882353	0.270588235294118	0.0117647058823529	0.0235294117647059	0.132352941176471	0.0794117647058823	0.311764705882353	0.00882352941176471	0.00588235294117647	0.0382352941176471	0.00294117647058824	0.00294117647058824	NA	NA	NA	NA
T1.10e_Prohamitermes_mirabilis_1	27	3	2	14	18	4	6	3	6	2	0	0	0.0234631278	85	0.317647058823529	0.0352941176470588	0.0235294117647059	0.164705882352941	0.211764705882353	0.0470588235294118	0.0705882352941176	0.0352941176470588	0.0705882352941176	0.0235294117647059	0	0	Amitermes-group	1	Wood	1
T1.15a_Leucopitermes_leucops_1	27	21	15	38	34	10	26	9	11	6	1	1	0.0597453653	199	0.135678391959799	0.105527638190955	0.0753768844221105	0.190954773869347	0.170854271356784	0.050251256281407	0.130653266331658	0.0452261306532663	0.0552763819095477	0.0301507537688442	0.0050251256281407	0.0050251256281407	Nasutitermitinae	1	Soil	1
T13_Heterotermes_tenuis_FG_1	41	5	8	22	22	2	4	2	8	3	2	0	0.0275550433	119	0.34453781512605	0.0420168067226891	0.0672268907563025	0.184873949579832	0.184873949579832	0.0168067226890756	0.0336134453781513	0.0168067226890756	0.0672268907563025	0.0252100840336134	0.0168067226890756	0	Coptotermitinae	1	Wood	1
T1.6c_Procapritermes_sp.A_1	24	31	9	28	26	13	36	6	13	8	1	1	0.0685671467	196	0.122448979591837	0.158163265306122	0.0459183673469388	0.142857142857143	0.13265306122449	0.0663265306122449	0.183673469387755	0.0306122448979592	0.0663265306122449	0.0408163265306122	0.00510204081632653	0.00510204081632653	Pericapritermes-group	1	Soil	1
T1.6d_Pericapritermes_dolichocephalus_1	19	3	1	9	16	2	6	3	5	1	0	0	0.0275601669	65	0.292307692307692	0.0461538461538462	0.0153846153846154	0.138461538461538	0.246153846153846	0.0307692307692308	0.0923076923076923	0.0461538461538462	0.0769230769230769	0.0153846153846154	0	0	Pericapritermes-group	1	Soil	1
T2.13c_Schedorhinotermes_longirostris_Singapore_1	24	7	1	12	13	2	2	1	11	1	2	0	0.0210038268	76	0.315789473684211	0.0921052631578947	0.0131578947368421	0.157894736842105	0.171052631578947	0.0263157894736842	0.0263157894736842	0.0131578947368421	0.144736842105263	0.0131578947368421	0.0263157894736842	0	Rhinotermitinae	1	Wood	1
T2.19a_Oriensubulitermes_inanis_1	14	0	0	8	12	3	2	0	8	0	0	0	0.0601752329	47	0.297872340425532	0	0	0.170212765957447	0.25531914893617	0.0638297872340425	0.0425531914893617	0	0.170212765957447	0	0	0	Nasutitermitinae	1	Soil	1
