Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
G13-069_Anoplotermes-group_sp.AF_1	22	43	42	1	7	41	9	16	14	1	21	12	0.066749043	229	0.096069869	0.187772926	0.183406114	0.004366812	0.030567686	0.179039301	0.03930131	0.069868996	0.061135371	0.004366812	0.091703057	0.052401747	Apicotermitinae	1	Soil	0	0.991304347826087	114	115	0
G13-114_Compositermes_vindai_1	24	33	23	6	10	28	0	11	13	0	23	6	0.066346394	177	0.13559322	0.186440678	0.129943503	0.033898305	0.056497175	0.15819209	0	0.062146893	0.073446328	0	0.129943503	0.033898305	Apicotermitinae	1	Soil	0	1.03448275862069	90	87	0
G13-116_Anoplotermes_sp.E1_1	21	29	41	6	9	8	3	7	7	0	5	5	0.036980961	141	0.14893617	0.205673759	0.290780142	0.042553191	0.063829787	0.056737589	0.021276596	0.04964539	0.04964539	0	0.035460993	0.035460993	Apicotermitinae	1	Soil	0	2.4390243902439	100	41	0
G680_Anoplotermes_sp.E1_1	14	51	34	6	12	4	3	8	7	1	3	12	0.037317949	155	0.090322581	0.329032258	0.219354839	0.038709677	0.077419355	0.025806452	0.019354839	0.051612903	0.04516129	0.006451613	0.019354839	0.077419355	Apicotermitinae	1	Soil	0	2.52272727272727	111	44	0
G721_Anoplotermes-group_sp.AD_1	28	49	44	9	21	26	7	19	14	5	28	9	0.086719489	259	0.108108108	0.189189189	0.16988417	0.034749035	0.081081081	0.1003861	0.027027027	0.073359073	0.054054054	0.019305019	0.108108108	0.034749035	Apicotermitinae	1	Soil	0	1.21367521367521	142	117	0
RDCT121_Ateuchotermes_sp.C_1	21	46	26	3	15	13	3	21	6	1	9	6	0.056224732	170	0.123529412	0.270588235	0.152941176	0.017647059	0.088235294	0.076470588	0.017647059	0.123529412	0.035294118	0.005882353	0.052941176	0.035294118	Apicotermitinae	1	Soil	0	1.74193548387097	108	62	0
RDCT147_Astratotermes_sp._1	17	32	42	4	25	18	3	14	9	1	14	10	0.053103356	189	0.08994709	0.169312169	0.222222222	0.021164021	0.132275132	0.095238095	0.015873016	0.074074074	0.047619048	0.005291005	0.074074074	0.052910053	Apicotermitinae	1	Soil	0	1.58904109589041	116	73	0
TBRU3.23a_Orientotermes_emersoni_1	57	27	21	13	17	75	5	43	24	6	59	22	0.153169691	369	0.154471545	0.073170732	0.056910569	0.035230352	0.046070461	0.203252033	0.013550136	0.116531165	0.06504065	0.016260163	0.159891599	0.059620596	Cephalo-group	1	Wood	0	0.493927125506073	122	247	0
ARG2014-01_Aparatermes_sp.B_1	26	39	30	6	9	20	3	12	9	2	22	8	0.056994076	186	0.139784946	0.209677419	0.161290323	0.032258065	0.048387097	0.107526882	0.016129032	0.064516129	0.048387097	0.010752688	0.11827957	0.043010753	Apicotermitinae	1	Soil	0	1.26829268292683	104	82	0
3.12.2.AUS_Heterotermes_cf_occiduus_1	18	32	24	5	22	5	2	2	4	1	2	0	0.039036936	117	0.153846154	0.273504274	0.205128205	0.042735043	0.188034188	0.042735043	0.017094017	0.017094017	0.034188034	0.008547009	0.017094017	0	Coptotermitinae	1	Wood	1	4.57142857142857	96	21	0
3_15_2_AUS_Heterotermes_occidus_Australia_1	28	28	32	4	16	4	1	4	5	0	4	1	0.030503378	127	0.220472441	0.220472441	0.251968504	0.031496063	0.125984252	0.031496063	0.007874016	0.031496063	0.039370079	0	0.031496063	0.007874016	Coptotermitinae	1	Wood	1	4.52173913043478	104	23	0
3.15.6AUS_Heterotermes_platycephalus_Australia_1	32	28	34	5	17	3	0	4	4	0	1	0	0.03806413	128	0.25	0.21875	0.265625	0.0390625	0.1328125	0.0234375	0	0.03125	0.03125	0	0.0078125	0	Coptotermitinae	1	Wood	1	6.52941176470588	111	17	0
