Species	Taxonomy	Worker	diet.Wood.Soil	Soldier
RDCT183_Apilitermes_longiceps_1	Cubitermitinae	1	Soil	1
BDIT078_Cubitermes_ugandensis_1	Cubitermitinae	1	Soil	1
CA13_Ophiotermes_sp._1	Cubitermitinae	1	Soil	1
B058_Asiablatta_kyotensis_1	Ectobiidae1	NA	NA	NA
B061_Paratemnopteryx_couloniana_1	Ectobiidae1	NA	NA	NA
B062_Parcoblatta_divisa_1	Ectobiidae1	NA	NA	NA
B063_Parcoblatta_lata_1	Ectobiidae1	NA	NA	NA
B064_Parcoblatta_pennsylvanica_1	Ectobiidae1	NA	NA	NA
B066_Symploce_macroptera_1	Ectobiidae1	NA	NA	NA
B067_Symploce_pallens_1	Ectobiidae1	NA	NA	NA
B082_Ischnoptera_bilunata_1	Ectobiidae1	NA	NA	NA
B083_Ischnoptera_deropeltiformis_1	Ectobiidae1	NA	NA	NA
B084_Ischnoptera_sp._1	Ectobiidae1	NA	NA	NA
B096_Lobopterella_dimidiatipes_1	Ectobiidae1	NA	NA	NA
B099_Parcoblatta_fulvescens_1	Ectobiidae1	NA	NA	NA
B100_Parcoblatta_uhleriana_1	Ectobiidae1	NA	NA	NA
B101_Parcoblatta_bolliana_1	Ectobiidae1	NA	NA	NA
BB_Ectobiidae_1	Ectobiidae1	NA	NA	NA
BBI_Blattella_bisignata_1	Ectobiidae1	NA	NA	NA
Beybienkoa_karandanensis_1	Ectobiidae1	NA	NA	NA
BUidUT_Blattella_lituricollis_1	Ectobiidae1	NA	NA	NA
BV_Blattella_vaga_1	Ectobiidae1	NA	NA	NA
Carbrunneria_paramaxi_1	Ectobiidae1	NA	NA	NA
Z140_Ectobiidae_sp._1	Ectobiidae1	NA	NA	NA
B059_Blattella_asahinai_1	Ectobiidae1	NA	NA	NA
Blatella_germanica_1	Ectobiidae1	NA	NA	NA
Megaloblatta_sp_ECMD1_1	Ectobiidae2	NA	NA	NA
Allacta_bimaculata_1	Ectobiidae3	NA	NA	NA
Amazonina_sp._1	Ectobiidae3	NA	NA	NA
B068_Blatta_orientalis_1	Blattidae	NA	NA	NA
Balta_sp._1	Ectobiidae3	NA	NA	NA
Ectobius_sp_Z254C_1	Ectobiidae3	NA	NA	NA
Phyllodromica_sp._1	Ectobiidae3	NA	NA	NA
Euphyllodromia_Z257_1	Ectobiidae3	NA	NA	NA
BDIT108_Foraminitermes_rhinoceros_1	Foraminitermitinae	1	Soil	1
TBRU8.14E_Labritermes_buttelreepeni_1	Foraminitermitinae	1	Soil	1
AUS101_1	Kalotermitidae	0	Wood	1
AUS102_1	Kalotermitidae	0	Wood	1
AUS109_Kalotermitidae_sp_E_Australia_1	Kalotermitidae	0	Wood	1
AUS110_NODE_1_length_15815_cov_394767_ID_1911_1	Kalotermitidae	0	Wood	1
AUS111_1	Kalotermitidae	0	Wood	1
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1	Kalotermitidae	0	Wood	1
AUS91_1	Kalotermitidae	0	Wood	1
BA2929_NODE_6_length_15590_cov_330713_ID_1249685_1	Kalotermitidae	0	Wood	1
BA3121_NODE_84_length_15754_cov_340293_ID_1927933_1	Kalotermitidae	0	Wood	1
Bifid_1	Kalotermitidae	0	Wood	1
BRA15_Glyptotermes_1	Kalotermitidae	0	Wood	1
CAM16-31_NODE_1_length_16055_cov_206745_ID_2275_1	Kalotermitidae	0	Wood	1
CHI15-157_NODE_1_length_15696_cov_532996_ID_1259_1	Kalotermitidae	0	Wood	1
CHI15-24_1	Kalotermitidae	0	Wood	1
CHI15-75_1	Kalotermitidae	0	Wood	1
CHI15-85_NODE_1_length_15781_cov_415385_ID_1981_1	Kalotermitidae	0	Wood	1
COL17-26_NODE_1_length_15512_cov_173959_ID_51_1	Kalotermitidae	0	Wood	1
CRYAUS_Cryptotermes_austrinus_Australia_1	Kalotermitidae	0	Wood	1
CRYBREVIS_Cryptotermes_brevis_Australia_1	Kalotermitidae	0	Wood	1
CRYDOMESTI_Cryptotermes_domesticus_1	Kalotermitidae	0	Wood	1
CRYDRUDDLE_Cryptotermes_dudleyi_Australia_1	Kalotermitidae	0	Wood	1
CRYPRIMUS_Cryptotermes_primus_Australia_1	Kalotermitidae	0	Wood	1
Cryptotermes_secundus_1	Kalotermitidae	0	Wood	1
CRYQUEEN_Cryptotermes_queenslandicus_Australia_1	Kalotermitidae	0	Wood	1
CU_1490_0_NODE_2_length_15846_cov_660191_ID_1569873_1	Kalotermitidae	0	Wood	1
E17-RS-34-2-TR_NODE_1_length_15518_cov_51521_ID_229_1	Kalotermitidae	0	Wood	1
E58_Kalotermitidae_spA_Pakistan_1	Kalotermitidae	0	Wood	1
